id;jenjang_pendidikan;minat_bakat;jalur_pendaftaran;rata_nilai;rencana_karir;prodi_rekomendasi_id
19;D4;Fisika;Jalur Prestasi;99.0;Cybersecurity Analyst;4
20;D3;Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL), Pemrograman;Jalur Prestasi;96.9;Full Stack Developer;4
21;D4;Teknik Tenaga Listrik (TTL), Fisika, Teknik Instalasi Tenaga Listrik (TITL), Elektronika;Jalur Prestasi;93.3;IT Support Specialist;6
22;D4;Kimia, Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Prestasi;87.0;Mechatronics Specialist;5
23;D4;Multimedia, Teknologi Komputer Jaringan (TKJ), Kimia;Jalur Prestasi;86.4;Embedded Systems Engineer;1
24;D4;Statistika, Pemrograman, Multimedia;Jalur Prestasi;88.4;Mechatronics Specialist;5
25;D4;Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ), Matematika, Pemrograman;Jalur Prestasi;84.1;Game Designer;9
26;D4;Kimia, Desain Grafis;Jalur Test Tulis;939.8;Motion Graphics Artist;11
27;D3;Kimia;Jalur Tes Tulis;657.0;Network Engineer;2
28;D4;Teknik Instalasi Tenaga Listrik (TITL), Desain Animasi;Jalur Test Tulis;945.5;Cloud Engineer;10
29;D4;Fisika, Teknik Tenaga Listrik (TTL);Jalur Prestasi;91.0;3D Modeler;9
30;D4;Elektronika, Multimedia, Desain Grafis;Jalur Tes Tulis;670.0;UI/UX Designer;11
31;D4;Desain Grafis, Teknologi Komputer Jaringan (TKJ), Statistika;Jalur Tes Tulis;750.0;System Administrator;6
32;D4;Statistika, Matematika;Jalur Prestasi;97.7;Business Intelligence Analyst;12
33;D4;Desain Grafis, Pemrograman;SIMANDIRI;887.6;3D Modeler;9
34;D3;Fisika;Jalur Prestasi;80.7;Full Stack Developer;4
35;D4;Desain Animasi, Teknik Tenaga Listrik (TTL);Jalur Prestasi;85.0;Cybersecurity Analyst;4
36;D4;Teknik Instalasi Tenaga Listrik (TITL), Elektronika, Matematika, Statistika;Jalur Prestasi;84.7;Energy Analyst;8
37;D4;Statistika, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;81.2;Full Stack Developer;4
38;D3;Teknik Tenaga Listrik (TTL), Matematika, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;90.0;Telecommunications Specialist;2
39;D4;Elektronika;Jalur Prestasi;90.0;Mechatronics Specialist;5
40;D4;Desain Grafis, Multimedia, Teknik Instalasi Tenaga Listrik (TITL), Kimia;Jalur Prestasi;98.8;Automation Engineer;3
41;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;88.8;Telecommunications Specialist;2
42;D4;Elektronika;Jalur Prestasi;88.6;Automation Engineer;5
43;D4;Fisika, Pemrograman, Statistika;Jalur Prestasi;85.0;Control Systems Engineer;3
44;D4;Elektronika, Multimedia, Pemrograman;Jalur Prestasi;90.0;Digital Content Creator;11
45;D4;Desain Animasi, Kimia, Multimedia;Jalur Prestasi;93.0;System Administrator;6
46;D4;Statistika, Elektronika;Jalur Test Tulis;674.6;IT Support Specialist;6
47;D4;Multimedia, Elektronika, Desain Grafis;SIMANDIRI;906.3;Control Systems Engineer;3
48;D3;Fisika, Elektronika, Teknik Tenaga Listrik (TTL), Multimedia;Jalur Test Tulis;701.3;Network Engineer;2
49;D4;Desain Grafis, Fisika, Kimia;Jalur Prestasi;97.0;Software Engineer;4
50;D4;Fisika, Statistika, Desain Grafis, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;811.8;Control Systems Engineer;3
51;D4;Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;99.7;RF Engineer;2
52;D4;Teknologi Komputer Jaringan (TKJ), Pemrograman, Teknik Instalasi Tenaga Listrik (TITL), Multimedia;Jalur Tes Tulis;904.0;IT Support Specialist;6
53;D3;Fisika;SIMANDIRI;97.3;Broadcast Engineer;7
54;D4;Elektronika, Multimedia;SIMANDIRI;833.0;3D Modeler;9
55;D4;Multimedia, Matematika, Teknologi Komputer Jaringan (TKJ), Teknik Tenaga Listrik (TTL);Jalur Tes Tulis;730.0;Energy Analyst;8
56;D4;Statistika;Jalur Test Tulis;870.0;Motion Graphics Artist;11
57;D4;Multimedia, Matematika;Jalur Test Tulis;867.9;Computer Engineer;6
58;D4;Fisika, Matematika, Desain Animasi;Jalur Tes Tulis;906.0;Digital Content Creator;11
59;D3;Kimia, Pemrograman, Desain Grafis, Desain Animasi;Jalur Test Tulis;975.5;Video Editor;7
60;D3;Kimia, Multimedia;Jalur Test Tulis;691.6;Video Editor;7
61;D4;Teknik Tenaga Listrik (TTL), Statistika, Matematika, Desain Animasi;Jalur Prestasi;82.0;3D Modeler;9
62;D4;Elektronika;Jalur Test Tulis;823.2;DevOps Engineer;10
63;D4;Elektronika, Kimia;Jalur Prestasi;81.6;Automation Engineer;5
64;D4;Fisika, Desain Animasi, Matematika, Teknik Tenaga Listrik (TTL);Jalur Prestasi;93.0;Network Security Specialist;10
65;D4;Pemrograman, Statistika, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;939.5;Game Designer;9
66;D4;Desain Animasi, Fisika, Multimedia, Statistika;Jalur Tes Tulis;952.0;Computer Engineer;6
67;D4;Pemrograman, Teknik Instalasi Tenaga Listrik (TITL), Matematika;Jalur Tes Tulis;994.0;Renewable Energy Engineer;8
68;D4;Elektronika, Pemrograman;Jalur Prestasi;86.0;Data Scientist;12
69;D4;Fisika;Jalur Test Tulis;961.6;Power Plant Operator;8
70;D4;Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;688.6;Power Plant Operator;8
71;D3;Desain Animasi, Teknologi Komputer Jaringan (TKJ), Desain Grafis;Jalur Tes Tulis;857.0;Video Editor;7
72;D4;Teknik Tenaga Listrik (TTL), Desain Grafis;Jalur Prestasi;82.9;Power Plant Operator;8
73;D3;Teknik Tenaga Listrik (TTL), Matematika;SIMANDIRI;85.6;Telecommunications Specialist;2
74;D4;Statistika, Desain Animasi, Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Prestasi;99.4;Software Engineer;4
75;D4;Teknik Instalasi Tenaga Listrik (TITL), Desain Grafis, Kimia, Teknik Tenaga Listrik (TTL);SIMANDIRI;718.0;Embedded Systems Engineer;1
76;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;80.6;Electronics Technician;1
77;D4;Teknik Tenaga Listrik (TTL), Multimedia, Kimia;Jalur Prestasi;83.8;Digital Content Creator;11
78;D4;Statistika, Desain Animasi, Pemrograman, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;92.1;UI/UX Designer;11
79;D4;Multimedia, Statistika, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;908.8;UI/UX Designer;11
80;D4;Statistika, Desain Grafis, Multimedia, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;83.7;System Administrator;6
81;D4;Fisika, Pemrograman, Kimia;SIMANDIRI;673.4;Cloud Engineer;10
82;D4;Teknik Instalasi Tenaga Listrik (TITL), Desain Grafis;Jalur Tes Tulis;877.0;Cloud Engineer;10
83;D4;Fisika, Desain Grafis, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;928.0;Cybersecurity Analyst;4
84;D4;Statistika, Teknik Tenaga Listrik (TTL);Jalur Prestasi;85.7;Cloud Engineer;10
85;D4;Pemrograman;Jalur Prestasi;97.0;Electrical Engineer;1
86;D4;Statistika, Matematika, Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;691.0;Network Engineer;2
87;D4;Teknik Instalasi Tenaga Listrik (TITL), Matematika, Pemrograman, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;91.9;Motion Graphics Artist;11
88;D3;Matematika;Jalur Test Tulis;887.8;Multimedia Designer;7
89;D4;Fisika, Elektronika;Jalur Prestasi;90.5;Industrial Electrician;3
90;D4;Matematika, Desain Grafis, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;808.5;Automation Engineer;3
91;D4;Multimedia, Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;99.2;Computer Engineer;6
92;D4;Teknik Tenaga Listrik (TTL), Desain Animasi, Matematika;Jalur Prestasi;85.6;Automation Engineer;5
93;D4;Teknik Tenaga Listrik (TTL), Matematika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;908.9;Game Designer;9
94;D4;Multimedia;Jalur Test Tulis;801.3;Mechatronics Specialist;5
95;D4;Pemrograman;Jalur Test Tulis;884.5;Mechatronics Specialist;5
96;D4;Teknologi Komputer Jaringan (TKJ), Pemrograman, Desain Grafis, Matematika;Jalur Test Tulis;941.7;Network Security Specialist;10
97;D4;Statistika, Teknik Instalasi Tenaga Listrik (TITL), Matematika;Jalur Tes Tulis;658.0;Energy Analyst;8
98;D3;Matematika, Pemrograman;Jalur Test Tulis;728.0;Video Editor;7
99;D4;Teknik Instalasi Tenaga Listrik (TITL), Elektronika, Kimia;Jalur Prestasi;94.0;IT Support Specialist;6
100;D4;Elektronika, Desain Animasi, Teknik Instalasi Tenaga Listrik (TITL), Fisika;Jalur Test Tulis;700.8;3D Modeler;9
101;D4;Elektronika, Multimedia, Pemrograman;Jalur Test Tulis;987.2;Telecommunications Specialist;2
102;D4;Multimedia, Kimia, Fisika, Matematika;Jalur Prestasi;83.0;Software Engineer;4
103;D3;Matematika, Pemrograman, Statistika, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;843.1;Video Editor;7
104;D4;Pemrograman, Elektronika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;698.1;Computer Engineer;6
105;D4;Teknologi Komputer Jaringan (TKJ), Desain Grafis;Jalur Prestasi;88.1;Machine Learning Engineer;12
106;D4;Elektronika, Teknik Instalasi Tenaga Listrik (TITL), Teknik Tenaga Listrik (TTL), Desain Animasi;Jalur Tes Tulis;723.0;Game Developer;9
107;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;97.0;Power Plant Operator;8
108;D4;Desain Grafis;Jalur Tes Tulis;824.0;IT Support Specialist;6
109;D4;Desain Animasi;Jalur Test Tulis;758.4;Game Developer;9
110;D3;Elektronika, Statistika;Jalur Prestasi;84.0;Electrical Engineer;1
111;D4;Fisika, Pemrograman;Jalur Test Tulis;961.4;Data Scientist;12
112;D4;Statistika, Elektronika, Teknik Instalasi Tenaga Listrik (TITL), Matematika;Jalur Prestasi;81.2;Robotics Engineer;5
113;D4;Teknologi Komputer Jaringan (TKJ), Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;928.9;Game Designer;9
114;D4;Multimedia, Fisika, Pemrograman;Jalur Tes Tulis;921.0;Robotics Engineer;5
115;D4;Teknik Tenaga Listrik (TTL), Elektronika;Jalur Test Tulis;816.0;Game Designer;9
116;D4;Teknik Tenaga Listrik (TTL), Statistika, Matematika;Jalur Test Tulis;908.1;Motion Graphics Artist;11
117;D4;Teknik Tenaga Listrik (TTL), Multimedia, Desain Grafis;Jalur Tes Tulis;952.0;Machine Learning Engineer;12
118;D3;Teknologi Komputer Jaringan (TKJ), Desain Grafis, Pemrograman, Matematika;Jalur Prestasi;83.1;Broadcast Engineer;7
119;D4;Teknologi Komputer Jaringan (TKJ), Statistika;Jalur Prestasi;88.9;Renewable Energy Engineer;8
120;D3;Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Test Tulis;814.4;Multimedia Designer;7
121;D4;Desain Grafis, Kimia;Jalur Prestasi;80.0;UI/UX Designer;11
122;D3;Desain Grafis, Elektronika, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;80.5;Electrical Engineer;1
123;D4;Fisika, Kimia, Multimedia, Pemrograman;SIMANDIRI;710.7;Network Engineer;2
124;D4;Elektronika, Fisika, Desain Animasi, Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;736.0;3D Modeler;9
125;D4;Multimedia, Elektronika;Jalur Test Tulis;665.2;System Administrator;6
126;D3;Teknik Tenaga Listrik (TTL), Matematika, Desain Animasi, Elektronika;Jalur Prestasi;94.2;Electronics Technician;1
127;D4;Desain Grafis, Teknologi Komputer Jaringan (TKJ), Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL);Jalur Tes Tulis;689.0;Data Scientist;12
128;D3;Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;99.0;Control Systems Engineer;3
129;D4;Matematika;Jalur Test Tulis;686.0;Automation Engineer;5
130;D3;Teknologi Komputer Jaringan (TKJ), Fisika, Matematika, Elektronika;Jalur Tes Tulis;762.0;Full Stack Developer;4
131;D4;Desain Animasi, Teknik Tenaga Listrik (TTL);Jalur Prestasi;83.2;Automation Engineer;3
132;D4;Teknik Tenaga Listrik (TTL), Kimia;Jalur Prestasi;87.8;Digital Content Creator;11
133;D4;Statistika, Elektronika, Fisika;Jalur Prestasi;81.0;Data Scientist;12
134;D4;Pemrograman, Fisika, Desain Grafis, Multimedia;Jalur Prestasi;91.8;Game Developer;9
135;D4;Desain Animasi, Statistika, Teknik Instalasi Tenaga Listrik (TITL), Desain Grafis;Jalur Tes Tulis;662.0;Automation Engineer;3
136;D4;Teknologi Komputer Jaringan (TKJ), Desain Animasi, Multimedia;Jalur Prestasi;97.3;Business Intelligence Analyst;12
137;D4;Matematika;Jalur Test Tulis;771.8;Renewable Energy Engineer;8
138;D3;Elektronika;Jalur Tes Tulis;878.0;Full Stack Developer;4
139;D4;Desain Grafis, Matematika;Jalur Test Tulis;906.2;Network Security Specialist;10
140;D3;Statistika;Jalur Test Tulis;760.6;Video Editor;7
141;D4;Matematika;Jalur Tes Tulis;765.0;Game Designer;9
142;D4;Pemrograman;Jalur Prestasi;84.8;Game Designer;9
143;D4;Statistika;Jalur Prestasi;84.7;System Administrator;6
144;D3;Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;697.8;Electrical Engineer;1
145;D3;Desain Animasi, Teknologi Komputer Jaringan (TKJ), Multimedia, Matematika;Jalur Prestasi;86.0;Multimedia Designer;7
146;D4;Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ), Matematika, Desain Animasi;Jalur Tes Tulis;921.0;3D Modeler;9
147;D4;Elektronika, Teknologi Komputer Jaringan (TKJ), Pemrograman, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;87.0;Robotics Engineer;5
148;D4;Matematika;Jalur Prestasi;89.7;Power Plant Operator;8
149;D3;Teknik Instalasi Tenaga Listrik (TITL), Statistika, Elektronika;Jalur Test Tulis;790.0;Broadcast Engineer;7
150;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;85.9;Computer Engineer;6
151;D3;Elektronika, Teknik Tenaga Listrik (TTL), Multimedia, Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;755.0;Telecommunications Specialist;2
152;D4;Desain Grafis, Multimedia;SIMANDIRI;652.9;Cloud Engineer;10
153;D3;Kimia;Jalur Test Tulis;678.0;Cybersecurity Analyst;4
154;D3;Kimia, Fisika, Teknologi Komputer Jaringan (TKJ);SIMANDIRI;741.0;Video Editor;7
155;D4;Desain Animasi, Teknik Tenaga Listrik (TTL);Jalur Tes Tulis;686.0;DevOps Engineer;10
156;D4;Teknik Instalasi Tenaga Listrik (TITL), Pemrograman, Fisika, Desain Grafis;Jalur Prestasi;96.4;Renewable Energy Engineer;8
157;D4;Teknik Tenaga Listrik (TTL), Pemrograman, Desain Animasi;Jalur Prestasi;97.2;Robotics Engineer;5
158;D4;Kimia;Jalur Prestasi;84.5;Cloud Engineer;10
159;D3;Teknik Instalasi Tenaga Listrik (TITL);SIMANDIRI;84.9;Industrial Electrician;3
160;D4;Teknik Instalasi Tenaga Listrik (TITL), Desain Grafis;Jalur Tes Tulis;884.0;Energy Analyst;8
161;D4;Desain Animasi, Kimia, Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Tes Tulis;674.0;Automation Engineer;5
162;D4;Kimia, Matematika, Desain Animasi, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;760.5;3D Modeler;9
163;D3;Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;738.9;Full Stack Developer;4
164;D4;Fisika, Elektronika, Desain Grafis, Matematika;Jalur Test Tulis;707.9;DevOps Engineer;10
165;D4;Teknologi Komputer Jaringan (TKJ), Multimedia, Pemrograman, Desain Grafis;Jalur Prestasi;98.0;Computer Engineer;6
166;D3;Fisika;Jalur Tes Tulis;730.0;Industrial Electrician;3
167;D4;Desain Grafis, Matematika, Pemrograman;Jalur Tes Tulis;952.0;UI/UX Designer;11
168;D4;Elektronika;Jalur Test Tulis;683.5;Electronics Technician;1
169;D4;Teknik Instalasi Tenaga Listrik (TITL), Statistika, Teknologi Komputer Jaringan (TKJ), Matematika;SIMANDIRI;887.4;Cybersecurity Analyst;4
170;D4;Pemrograman, Matematika, Kimia, Desain Animasi;SIMANDIRI;98.7;UI/UX Designer;11
171;D4;Teknologi Komputer Jaringan (TKJ), Multimedia, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;97.0;DevOps Engineer;10
172;D4;Kimia, Fisika, Multimedia;Jalur Prestasi;93.2;Cloud Engineer;10
173;D4;Elektronika, Desain Grafis, Fisika, Matematika;Jalur Test Tulis;809.5;Digital Content Creator;11
174;D4;Desain Animasi, Pemrograman, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;745.0;Machine Learning Engineer;12
175;D3;Teknik Tenaga Listrik (TTL), Kimia;Jalur Prestasi;90.3;Control Systems Engineer;3
176;D4;Elektronika, Teknik Tenaga Listrik (TTL), Desain Grafis, Teknik Instalasi Tenaga Listrik (TITL);Jalur Tes Tulis;813.0;Electronics Technician;1
177;D4;Desain Animasi, Kimia, Desain Grafis;Jalur Test Tulis;732.2;Embedded Systems Engineer;1
178;D4;Statistika, Matematika, Desain Grafis;Jalur Tes Tulis;853.0;DevOps Engineer;10
179;D4;Desain Grafis, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;824.0;Power Plant Operator;8
180;D4;Pemrograman, Fisika;Jalur Prestasi;93.7;Robotics Engineer;5
181;D4;Multimedia;Jalur Prestasi;93.7;Machine Learning Engineer;12
182;D3;Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Tes Tulis;725.0;Multimedia Designer;7
183;D4;Desain Grafis;Jalur Test Tulis;656.7;Game Developer;9
184;D4;Kimia;Jalur Test Tulis;657.0;Automation Engineer;3
185;D4;Desain Animasi, Matematika, Multimedia, Teknik Tenaga Listrik (TTL);Jalur Prestasi;89.2;Mechatronics Specialist;5
186;D4;Statistika, Teknik Tenaga Listrik (TTL), Matematika, Kimia;Jalur Prestasi;98.0;Machine Learning Engineer;12
187;D4;Teknik Instalasi Tenaga Listrik (TITL), Desain Grafis, Kimia, Multimedia;Jalur Prestasi;86.6;Renewable Energy Engineer;8
188;D4;Matematika, Teknik Tenaga Listrik (TTL), Statistika;Jalur Prestasi;87.6;IT Support Specialist;6
189;D4;Desain Animasi, Statistika;SIMANDIRI;837.7;Power Plant Operator;8
190;D3;Pemrograman, Matematika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;92.0;Industrial Electrician;3
191;D4;Statistika, Desain Grafis;Jalur Prestasi;89.0;IT Support Specialist;6
192;D3;Kimia, Pemrograman, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;809.1;Electronics Technician;1
193;D3;Desain Grafis, Statistika, Elektronika, Matematika;Jalur Prestasi;99.5;Video Editor;7
194;D4;Teknologi Komputer Jaringan (TKJ), Matematika, Desain Animasi, Teknik Tenaga Listrik (TTL);Jalur Prestasi;85.0;Business Intelligence Analyst;12
195;D3;Multimedia;Jalur Tes Tulis;950.0;Control Systems Engineer;3
196;D4;Kimia, Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;889.8;Cloud Engineer;10
197;D4;Fisika;Jalur Test Tulis;651.0;Motion Graphics Artist;11
198;D4;Teknik Tenaga Listrik (TTL), Matematika, Fisika;Jalur Test Tulis;846.8;Motion Graphics Artist;11
199;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;84.0;Renewable Energy Engineer;8
200;D4;Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;83.0;Network Engineer;2
201;D3;Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;93.5;Electronics Technician;1
202;D4;Desain Animasi;Jalur Prestasi;84.3;Industrial Electrician;3
203;D3;Kimia, Fisika, Statistika, Multimedia;Jalur Tes Tulis;925.0;Video Editor;7
204;D4;Multimedia, Teknik Tenaga Listrik (TTL), Kimia;Jalur Tes Tulis;706.0;Automation Engineer;3
205;D4;Desain Grafis, Elektronika, Pemrograman;SIMANDIRI;90.9;Motion Graphics Artist;11
206;D4;Statistika, Matematika, Kimia;Jalur Tes Tulis;684.0;Renewable Energy Engineer;8
207;D4;Elektronika, Kimia;Jalur Prestasi;93.2;Telecommunications Specialist;2
208;D3;Desain Grafis, Statistika, Desain Animasi, Elektronika;Jalur Test Tulis;903.0;Multimedia Designer;7
209;D4;Teknik Instalasi Tenaga Listrik (TITL), Pemrograman;Jalur Tes Tulis;789.0;IT Support Specialist;6
210;D4;Teknik Instalasi Tenaga Listrik (TITL), Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Test Tulis;704.0;UI/UX Designer;11
211;D4;Desain Animasi;Jalur Test Tulis;709.0;Cybersecurity Analyst;4
212;D4;Multimedia, Kimia, Teknologi Komputer Jaringan (TKJ), Matematika;Jalur Test Tulis;925.4;IT Support Specialist;6
213;D3;Fisika, Teknologi Komputer Jaringan (TKJ), Pemrograman, Desain Grafis;Jalur Tes Tulis;790.0;Full Stack Developer;4
214;D4;Matematika;Jalur Prestasi;82.1;Power Plant Operator;8
215;D3;Kimia, Multimedia, Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;690.0;Broadcast Engineer;7
216;D4;Pemrograman;Jalur Prestasi;85.0;3D Modeler;9
217;D3;Pemrograman;Jalur Tes Tulis;772.0;Video Editor;7
218;D4;Pemrograman, Desain Animasi, Matematika;Jalur Tes Tulis;998.0;Renewable Energy Engineer;8
219;D4;Desain Animasi, Elektronika, Statistika;Jalur Tes Tulis;791.0;Robotics Engineer;5
220;D3;Desain Grafis, Fisika, Teknik Tenaga Listrik (TTL), Pemrograman;Jalur Tes Tulis;665.0;Embedded Systems Engineer;1
221;D4;Pemrograman, Kimia, Statistika;Jalur Prestasi;98.6;Mechatronics Specialist;5
222;D4;Fisika, Desain Grafis, Matematika;Jalur Prestasi;87.0;Mechatronics Specialist;5
223;D4;Teknologi Komputer Jaringan (TKJ), Matematika, Pemrograman, Kimia;Jalur Test Tulis;933.0;Control Systems Engineer;3
224;D3;Desain Animasi, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;98.9;Broadcast Engineer;7
225;D4;Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;668.0;Game Designer;9
226;D4;Multimedia, Pemrograman, Desain Grafis;SIMANDIRI;973.1;Telecommunications Specialist;2
227;D4;Desain Grafis, Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL), Kimia;Jalur Prestasi;93.1;Game Developer;9
228;D4;Teknik Instalasi Tenaga Listrik (TITL), Pemrograman, Teknik Tenaga Listrik (TTL), Fisika;Jalur Prestasi;95.8;Game Designer;9
229;D4;Pemrograman, Desain Grafis, Desain Animasi, Multimedia;Jalur Test Tulis;743.1;Game Designer;9
230;D4;Elektronika, Desain Animasi;Jalur Tes Tulis;966.0;Machine Learning Engineer;12
231;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;98.0;Telecommunications Specialist;2
232;D3;Desain Grafis, Matematika, Multimedia, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;94.3;RF Engineer;2
233;D4;Pemrograman, Fisika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;706.7;System Administrator;6
234;D3;Teknik Tenaga Listrik (TTL), Desain Animasi, Kimia;Jalur Prestasi;86.0;Video Editor;7
235;D3;Fisika, Desain Grafis, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;83.5;Industrial Electrician;3
236;D4;Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;84.0;Motion Graphics Artist;11
237;D4;Statistika;Jalur Test Tulis;656.9;Network Engineer;2
238;D4;Elektronika;Jalur Test Tulis;746.5;Energy Analyst;8
239;D4;Teknik Tenaga Listrik (TTL), Multimedia, Pemrograman;Jalur Prestasi;91.7;Computer Engineer;6
240;D4;Matematika;SIMANDIRI;659.0;Automation Engineer;5
241;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;81.6;IT Support Specialist;6
242;D4;Fisika, Teknik Tenaga Listrik (TTL);Jalur Prestasi;98.5;Game Developer;9
243;D4;Elektronika;Jalur Prestasi;96.3;System Administrator;6
244;D4;Teknik Instalasi Tenaga Listrik (TITL), Multimedia;Jalur Test Tulis;849.2;Automation Engineer;3
245;D4;Kimia, Elektronika;Jalur Test Tulis;979.4;Software Engineer;4
246;D4;Pemrograman, Fisika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;87.8;Digital Content Creator;11
247;D4;Desain Animasi, Statistika, Fisika;Jalur Prestasi;93.7;3D Modeler;9
248;D4;Multimedia, Teknik Instalasi Tenaga Listrik (TITL), Desain Animasi;Jalur Tes Tulis;952.0;Automation Engineer;3
249;D4;Matematika, Multimedia, Fisika, Desain Animasi;Jalur Tes Tulis;966.0;Electrical Engineer;1
